Name,ElementGroup,Difficulty,Event
Double salto fwd. t. or p.or with ½ turn.,4,"0,3",HB
Double salto fwd. t. or p. with 1/1 or 3/2 t.,4,"0,4",HB
Double salto fwd. t. or p. with 2/1 or 5/2 t.,4,"0,5",HB
Double salto fwd. str. or with ½ t. over the bar (Roethlisberger),4,"0,4",HB
Double salto fwd. str. with 1/1 or 3/2 t. (Alvarez),4,"0,5",HB
Double salto fwd. t. or p. or with ½ turn over the bar.,4,"0,3",HB
Dbl. salto fwd. t. or p. w. 1/1 or 3/2 t. over the bar. (Roethlisberger),4,"0,4",HB
Salto bwd. piked or str. also with ½ or 1/1 t.,4,"0,1",HB
Salto bwd. str. with 3/2 or 2/1 t.,4,"0,2",HB
Salto bwd. str. with 5/2 or 3/1 t.,4,"0,3",HB
Double salto bwd. tuck or pike.,4,"0,2",HB
Double salto bwd. t. with 1/1 t. (Tsukahara),4,"0,3",HB
Double salto bwd. t. with 2/1 t.,4,"0,4",HB
Double salto bwd. str.,4,"0,3",HB
Double salto bwd. str. with 1/1 t.,4,"0,4",HB
Double salto bwd. str. with 2/1 t. (Watanabe),4,"0,5",HB
Double salto bwd. str. with 3/1 t. (Fedorchenko),4,"0,6",HB
Triple salto bwd. t. or over the bar. (Andrianov) (Hoffmann),4,"0,6",HB
Double salto bwd. t. over the bar.,4,"0,2",HB
Doble salto bwd. t. with 1/1 t. over the bar.,4,"0,3",HB
Double salto bwd. t. with 2/1 t. over the bar,4,"0,4",HB
Triple salto bwd. p. G,4,"0,7",HB
Double salto bwd. str over the bar.,4,"0,3",HB
Double salto bwd. str. w. 1/1 t. over the bar. (Hayden),4,"0,4",HB
Double salto bwd str. w. 3/2 or 2/1 turn over the bar. (Faulk) (Valverde),4,"0,5",HB
Triple salto bwd. t. with 1/1 t. (Belle) G,4,"0,7",HB
"Hecht strad., hecht or hecht w. ½ t.",4,"0,1",HB
Hecht w. 1/1 or 3/2 t.,4,"0,2",HB
Hecht w. 2/1 t.,4,"0,4",HB
