Skill Name,Element Group,Difficulty,Event
"On the leather, Russian wendeswing with 360° or 540°.",2,"0,1",PH
"On the leather, Russian wendeswing with 720° or 900°.",2,"0,2",PH
"On the leather, Russian wendeswing with 1080° or more.",2,"0,3",PH
,2,"0,4",PH
,2,"0,5",PH
,2,"0,6",PH
,2,"0,1",PH
Russian wendeswing with 180° or 270° on 1 pommel or between the pommels.,2,"0,2",PH
Russian wendeswing with 360° or 540° on 1 pommel or between the pommels.,2,"0,3",PH
720° or 900° Russian wendeswing on 1 pommel or between the pommels.,2,"0,4",PH
1080° Russian wendeswing or more on 1 pommel or between the pommels.,2,"0,5",PH
,2,"0,6",PH
,2,"0,1",PH
,2,"0,2",PH
,2,"0,3",PH
,2,"0,4",PH
,2,"0,5",PH
,2,"0,6",PH
Circles with any travel in side support (1/3) (also with ¼ t.).,3,"0,1",PH
Circles with any travel in side support (3/3).,3,"0,2",PH
"Any travel in side support (3/3), hands between pommels.",3,"0,3",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
Circles with any hop travel in side support (1/3),3,"0,2",PH
Circles with any hop travel 2x in side support (3/3).,3,"0,3",PH
,3,"0,4",PH
"From side support beside the pommel, travel hop over 2 pommels to support fwd on other end (1-1 to 5-5). (Yamawaki)",3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
Travel fwd. or bwd. with ¼ spindle to side support on 2 pommels.,3,"0,2",PH
All travels with ½ spindle in side support.,3,"0,3",PH
,3,"0,4",PH
From an end side travel with 2x ½ spindle to other end.,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
Any travel fwd. 3/3 with ½ Spindle from one pommel over the other pommel. (Nin Reyes) (Titov),3,"0,4",PH
Travel 3/3 over both pommels with ½ Spindle. (Nin Reyes 2) (Keikha 4),3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
,3,"0,4",PH
Any 3/3 travel in flairs with 1/1 Spindle inside 2 circles. (Urzica 2) (Burkhart),3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
Travel fwd. in cross support (1/2 or 2/3).,3,"0,2",PH
"Travel fwd. in cross support with support on leather, pommel, pommel, leather (3/3) (1-2-4-5).",3,"0,3",PH
Any other travel fwd. in cross support to other end (3/3). (Magyar),3,"0,4",PH
Travel forward in cross support over both pommels (also with hop). (Driggs),3,"0,5",PH
,3,"0,6",PH
Travel bwd. in cross support from one horse part or pommel to another (⅓).,3,"0,1",PH
Travel bwd. in cross support (1/2 or 2/3).,3,"0,2",PH
"Travel bwd. in cross sup with support on leather, pommel, pommel, leather (3/3) (5-4-2-1).",3,"0,3",PH
Any other travel bwd. in cross support to other end (3/3). (Sivado),3,"0,4",PH
Travel backward in cross support over both pommels (also with hop). (Kurbanov) (Reid),3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
"Kehre fwd., reverse Stöckli, kehre fwd. (Moguilny)",3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
"Kehre bwd., kehre fwd., kehre bwd. (Belenki)",3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
"From support on 1 pommel, Russian wendeswing fwd. to other end without support on or between the pommels (side to side support, side to cross support).",3,"0,3",PH
"From support on end, Russian wendeswing fwd. to other end without support on or between the pommels (side to side, side to cross, cross to side, cross to cross). (Tong Fei)",3,"0,4",PH
"On the leather, from cross support, Russian wendeswing with 360° or more over both pommels. (Vammen)",3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
"From support 1-2, 3/3 travel in Russian type wendeswing with 630° or more turning.",3,"0,4",PH
Any 3/3 travel in Russian type wendeswing with 720° or more turning. (Wu Guonian),3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
Any Russian wendeswing with 360° t. and 3/3 travel. (Roth),3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
Reverse Stöckli from cross support on end to the far pommel (Romero),3,"0,3",PH
Reverse Stöckli from cross support on one end to the other. (Abu Alsoud),3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
,3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
,3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
,3,"0,1",PH
,3,"0,2",PH
,3,"0,3",PH
,3,"0,4",PH
,3,"0,5",PH
,3,"0,6",PH
Wende from circle (also from Russian wendeswing 180° or 270°),4,"0,1",PH
Chaguinian to wende.,4,"0,2",PH
,4,"0,3",PH
"From side support on end, circle or flair to handstand and travel 3/3 with 450° or more turn. (Kolyvanov)",4,"0,4",PH
DSA to handstand 3/3 with 450° or more turn.,4,"0,5",PH
,4,"0,6",PH
"On the end, Russian wendeswing with 360° or 540°",4,"0,1",PH
"On the end, Russian wendeswing with 720° or 900°.",4,"0,2",PH
"On the end, Russian wendeswing with 1080° or more.",4,"0,3",PH
"From pommels, circle with 1/4 turn to Russian wenderswing 270° on one pommel to handstand. (Dolidze)",4,"0,4",PH
,4,"0,5",PH
,4,"0,6",PH
From side support wendeswing fwd. with ½ t. to support followed by wende.,4,"0,1",PH
,4,"0,2",PH
"DSA, reverse Stöckli or circle on one pommel through handstand.",4,"0,3",PH
DSA with hop bwd. through handstand on other end. (Jessen) (Loos),4,"0,4",PH
,4,"0,5",PH
,4,"0,6",PH
,4,"0,1",PH
Circle or flair through handstand (also with ¾ t. with or without travel).,4,"0,2",PH
Circle or flair with hop travel bwd. through handstand.,4,"0,3",PH
180° Russian from one end of the horse to the other end through handstand to dismount (Pellerin),4,"0,4",PH
,4,"0,5",PH
,4,"0,6",PH
