Skill Name,Element Group,Difficulty,Event
,3,"0,1",PB
Moy to support bent legs (also without grip release).,3,"0,2",PB
Moy to support straddled legs (also without grip release). (Moy),3,"0,3",PB
,3,"0,4",PB
.,3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
Giant swing bwd. to handstand or with inlocation fwd. (also with ¼ or ½ turn and to one rail). (Kenmotsu) (Wells),3,"0,3",PB
Giant swing bwd. to handstand on one rail (connected to Healy type element). (Piasecky),3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
"Giant swing bwd. with Diamidov to handstand, also to one rail.",3,"0,5",PB
Giant swing Diamidov with ¼ or ½ t. to handstand.,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
Swing down with salto bwd. straight to hang,3,"0,2",PB
Giant swing bwd. with ½ t. to upper arm hang. (Gushiken),3,"0,3",PB
Giant swing bwd. with ½ t. to support. (Marinitch),3,"0,4",PB
,3,"0,5",PB
Giant swing. bwd. with Diamidov to handstand to one rail (connected to Healy type element).,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
Giant swing bwd. with Makuts to upper hang. (Dauser),3,"0,4",PB
,3,"0,5",PB
Giant swing bwd. with Makuts. (Baumann),3,"0,6",PB
,3,"0,1",PB
Giant swing bwd. with straddled cut to upperaddledarm hang,3,"0,2",PB
,3,"0,3",PB
Giant swing bwd. with straddle cut to support or bent arms support. (Korolev),3,"0,4",PB
Giant swing bwd. with ½ t. and straddled cut bwd. to upper arms. (Sosa),3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
"From giant. sw. bwd., double salto tuck to upper arm hang. (Belle)",3,"0,5",PB
Belle pike.,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
,3,"0,5",PB
Belle with 1/1 turn. H,3,"0,8",PB
,3,"0,1",PB
,3,"0,2",PB
Giant swing bwd. and salto with ½ t. to hang on the end. (Chartrand),3,"0,3",PB
Giant swing bwd. and salto with ½ t. to upper arm hang.,3,"0,4",PB
Giant swing bwd. and salto with ½ t. to hang.,3,"0,5",PB
Giant swing bwd. with ½ t. and 3/2 salto fwd to upp arm hang. (Tanaka),3,"0,7",PB
Glide kip.,3,"0,1",PB
Glide kip with ½ t. to support.,3,"0,2",PB
Glide kip bwd. to handstand.,3,"0,3",PB
,3,"0,4",PB
Giant swing bwd. and salto with ½ t. to support. (Torres),3,"0,5",PB
Giant swing backward with ½ t. and 3/2 salto forward piked to upper arm hang. (Esparza) H,3,"0,8",PB
,3,"0,1",PB
Glide kip to straddled cut bwd. handstand on 1 or 2 rail.,3,"0,2",PB
Glide kip to straddled cut bwd. to hand. (Okubo),3,"0,3",PB
,3,"0,4",PB
Giant swing bwd. and salto with ½ str to upper arm hang (Fokin),3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
Glide kip one rail through L-sit straddled to handstand.,3,"0,2",PB
Glide kip through L-sit piked to handstand.,3,"0,3",PB
Glide kip through L-sit piked to handstand and hop with 3/4 t. or more.,3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
Glide kip through V-sit and hop ½ turn to hang on other rail. (Li Donghua),3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
Cast to upper arm hang.,3,"0,1",PB
Cast to support.,3,"0,2",PB
Felge with ½ t. to upper arm hang.,3,"0,3",PB
Felge with ½ t. to rear support.,3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
Cast with ½ t. to up. arm hang.,3,"0,2",PB
Cast with ½ t. to support.,3,"0,3",PB
Felge to handstand. Also to one rail or ¼ t. (Cucherat - Celen),3,"0,4",PB
Felge with ½ or ¾ t. to handstand.,3,"0,5",PB
Felge with 1/1 t. to handstand. (Teng Hai Bin),3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
Cast to straddle cut backward to handstand. (Arican),3,"0,3",PB
,3,"0,4",PB
,3,"0,5",PB
Felge with 5/4 t. to handstand. (Zhou Shixiong) G,3,"0,7",PB
Felge with travel to hang,3,"0,1",PB
Felge to support,3,"0,2",PB
Felge with immediate straddle cut to support.,3,"0,3",PB
,3,"0,4",PB
Felge to one rail handstand (connected to Healy type element). (Chiarlo),3,"0,5",PB
Felge through handstand to Makuts. (Yamamuro) G,3,"0,7",PB
,3,"0,1",PB
Felge roll backward with tuck salto ½ to upper arm hang. (Gagnon),3,"0,2",PB
Felge roll backward with straight salto ½ to upper arm hang. (Gagnon 2),3,"0,3",PB
,3,"0,4",PB
Felge with salto bwd tuck to uppper arm hang. (Tejada),3,"0,5",PB
Felge with salto bwd p. to up. arm hang. (Juarez 1),3,"0,6",PB
Felge forward to support.,3,"0,1",PB
Felge forward with ½ t. to support.,3,"0,2",PB
,3,"0,3",PB
Shoot up with ¼ t. to handstand.,3,"0,4",PB
Shoot up with ½ or 3/4 t. to handstand. (Nguyen),3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
Shoot up to handstand and fall back to support with ¼ turn. (Malone),3,"0,5",PB
,3,"0,6",PB
,3,"0,1",PB
,3,"0,2",PB
,3,"0,3",PB
,3,"0,4",PB
,3,"0,5",PB
,3,"0,6",PB
Salto fwd. piked or straight also with ½ t.,4,"0,1",PB
,4,"0,2",PB
,4,"0,3",PB
,4,"0,4",PB
Double salto fwd. tuck.,4,"0,5",PB
Double salto fwd. p. (Belyavskiy),4,"0,6",PB
,4,"0,1",PB
Salto fwd. piked or straight with 1/1,4,"0,2",PB
Salto fwd. piked or straight. 3/2 t.,4,"0,3",PB
Salto fwd. piked or straight with 2/1 or 5/2 t.,4,"0,4",PB
Double salto fwd. tuck with ½ t. or ½ t. double salto bwd.,4,"0,5",PB
Double salto fwd. tucked with 1/1 t. (Larduet) G,4,"0,7",PB
,4,"0,1",PB
,4,"0,2",PB
Double salto fwd. tuck from end.,4,"0,3",PB
,4,"0,4",PB
.,4,"0,5",PB
Double salto fwd. piked with ½ t. (Dalaloyan),4,"0,6",PB
"Salto bwd. piked or straight, also with ½ t.",4,"0,1",PB
,4,"0,2",PB
Salto bwd. piked or straight with 1/1 or 3/2 t.,4,"0,3",PB
Salto bwd. straight with 2/1 t. (Kan),4,"0,4",PB
,4,"0,5",PB
,4,"0,6",PB
,4,"0,1",PB
,4,"0,2",PB
,4,"0,3",PB
High wende and salto bwd tuck or pike. (Roethlisberger),4,"0,4",PB
,4,"0,5",PB
,4,"0,6",PB
,4,"0,1",PB
Double salto bwd. tuck from end.,4,"0,2",PB
Double salto bwd. tuck.,4,"0,3",PB
Double salto bwd. pike.,4,"0,4",PB
,4,"0,5",PB
Double salto bwd. t. with 1/1 t. (Hiroyuki Kato) G,4,"0,7",PB
,4,"0,1",PB
,4,"0,2",PB
,4,"0,3",PB
Double salto bwd. tucked with ½ t. or salto bwd. ½ tucked to salto fwd. tucked.,4,"0,4",PB
,4,"0,5",PB
,4,"0,6",PB
"From hang on end, salto bwd. straight.",4,"0,1",PB
,4,"0,2",PB
"From hang on end, double salto bwd. Tuck.",4,"0,3",PB
"From hang on end, double salto bwd. pike.",4,"0,4",PB
"From hang on end, double salto bwd. tuck with 1/1 or ½ t.",4,"0,5",PB
"From hang on end, double salto bwd. tuck with 2/1 t.",4,"0,6",PB
