Name,ElementGroup,Difficulty,Event
Salto backwards str. or Tempo salto bwd.,3,0.2,FX
Double salto bwd. tucked.,3,0.3,FX
Double salto bwd. t. with 1/1 t. Also Arabian double salto tuck with ½ t. (Tsukahara),3,0.4,FX
Double salto bwd. tucked with 2/1 t. or double salto bwd t. with 3/2 t..or salto bwd. str. 3/2 to fwd. salto tucked. Also (Korosteljev),3,0.5,FX
Double salto bwd. tucked with 3/1 t. (Ri Jong Song) G,3,0,7,FX
Salto backwards tucked or piked w. ½ t. or Arabian tucked or piked.,3,0.1,FX
Salto backwards str. w. ½ t.,3,0.2,FX
Arabian jump bwd. to double salto fwd tucked,3,0.4,FX
"Arabian jump bwd. to double salto fwd piked, also with ½ turn",3,0.5,FX
Double salto bwd. tucked with 5/2 t.,3,0.6,FX
Back handspring.,3,0.1,FX
Double salto bwd. piked.,3,0.4,FX
Triple salto bwd. tucked. (Liukin) I,3,0.9,FX
Triple salto bwd. piked. (Nagornyy) J,3,1.0,FX
Jump bwd. with ½ t. to roll fwd.,3,0.1,FX
Double salto straddled with 1/1 t. (Lou Yun),3,0.5,FX
Arabian Jump bwd. to dbl. salto fwd. str. (Tamayo),3,0.6,FX
Salto bwd. str. with 1/1 t and salto bwd piked.,3,0.5,FX
Salto bwd. str. with 2/1 t and salto bwd piked. (Kolyvanov),3,0.6,FX
Double salto bwd. stretched and with ½ t.,3,0.5,FX
Double salto bwd. str. with 3/2 t. or Arabian Jump bwd. to dbl. salto fwd. str. with 1/1 t. G Also Hypolito,3,0.7,FX
Double salto bwd. stretched with 1/1 t. or Arabian jump bwd. to dbl. salto fwd. str. with ½ t. Also Penev,4,0.6,FX
Double salto bwd. str. with 2/1 t. G,4,0.7,FX
Double salto bwd. str. with 5/2 t. H,4,0.8,FX
Double salto bwd. str. with 3/1 t. (Shirai 3) I,4,0.9,FX
"Salto fwd. tucked with 1/1 t., also with 3/2 t.",4,0.2,FX
"Salto fwd. str. with 1/1 t., also with 3/2 t.",4,0.3,FX
Salto fwd. str. with 2/1 t.,4,0.4,FX
Salto fwd. str. with 5/2 t.,4,0.5,FX
Salto fwd. str. with 3/1 t. (Shirai 2),4,0.6,FX
Salto backwards str. w. 1/1 t,4,0.2,FX
Salto bwd. str. with 3/2 t. or 2/1 t.,4,0.3,FX
Salto bwd. str. with 5/2 t.,4,0.4,FX
Salto bwd. str. with 7/2 t (González)4,,0.5,FX
Salto fwd. str. with 7/2 t. (Goshima) G,4,0.7,FX
Salto backwards tucked w. 3/2 t.,4,0.2,FX
Salto bwd. str. with 3/1 t.,4,0.4,FX
Salto bwd. str. with 4/1 t. (Shirai / Nguyen),4,0.6,FX
